EPPO_code,Name,Number,Title,Date,URL,Content
LIBEAF,'Candidatus Liberibacter africanus',2024/158,New biological control agent added to PM 6/3(5) in 2024,2024-07,https://gd.eppo.int/reporting/article-7908,"EPPO Reporting Service no. 07 - 2024
Num. article:
2024/158
New biological control agent added to PM 6/3(5) in 2024
In 2023,
Tamarixia dryi
(Hymenoptera: Eulophidae) was added to the EPPO Standard PM 6/3(5) Biological control agents safely used in the EPPO region, Appendix 2-classical BCAs successfully established in the EPPO region.
T. dryi
is a biological control agent for species of
Trioza erytreae
(Hemiptera: Triozidae) a vector of ‘
Candidatus
Liberibacter africanus’, ‘
Candidatus
Liberibacter americanus’ and ‘
Candidatus
Liberibacter asiaticus’ (EPPO A1 pest).
T. dryi
is utilised as a classical biological control agent in the EPPO region. It is indigenous to South Africa, it has been successfully established in the EPPO region for five years and there are no previous reports of adverse effects.
Sources
EPPO (2021) PM 6/3(5) Biological control agents safely used in the EPPO region.
EPPO Bulletin
51
, 452-454"
LIBEAF,'Candidatus Liberibacter africanus',2023/196,Update on the situation of Diaphorina citri in Cyprus,2023-09,https://gd.eppo.int/reporting/article-7678,"EPPO Reporting Service no. 09 - 2023
Num. article:
2023/196
Update on the situation of Diaphorina citri in Cyprus
Diaphorina citri
(vector of ‘
Candidatus
Liberibacter asiaticus’ - Hemiptera: Psyllidae, EPPO A1 List) was first reported in Cyprus in August 2023 in the municipality of Asómatos in Limassol District (EPPO
RS 2023/178
). Further surveys were conducted, and the psyllid was detected in citrus orchards in the southern coastal part of the island (Limassol, Larnaca, Paphos and Ammochostos districts).
D. citri
was not detected in the area of Nicosia and in the northern part of Cyprus (Polis Chrysochous area in Paphos district) where citrus are cultivated. All samples were tested for
Liberibacter
species causing huanglongbing following EPPO Diagnostic Protocol PM 7/121 and the results were negative.
The pest status of
Diaphorina citri
in Cyprus is officially declared as:
Present, only in some parts of the Member State concerned, under eradication.
Sources
NPPO of Cyprus (2023-09).
EPPO Standard PM7/121(2) Diagnostic Protocol for
'Candidatus
Liberibacter africanus’, ‘
Candidatus
Liberibacter americanus’ and ‘
Candidatus
Liberibacter asiaticus’. Available at
https://gd.eppo.int/taxon/LIBEAS/documents"
LIBEAF,'Candidatus Liberibacter africanus',2020/196,First report of ‘Candidatus Liberibacter africanus’ in Angola,2020-09,https://gd.eppo.int/reporting/article-6874,"EPPO Reporting Service no. 09 - 2020
Num. article:
2020/196
First report of ‘Candidatus Liberibacter africanus’ in Angola
In Angola, a survey on huanglongbing (associated with ‘
Candidatus
Liberibacter spp.’ – EPPO A1 List) was conducted in July 2019 in 2 citrus nurseries in Luanda and Caxito, and in different orchards in 7 farms surrounding Calulo and Quibala. Yellow sticky traps for insects were placed at the various localities and collected after approximately 3 weeks. Leaf galls suggesting the presence of
Trioza erytreae
(Hemiptera: Triozidae – EPPO A2 List – vector of huanglongbing) were observed on citrus in some locations, but no specimens were caught on traps. Citrus trees were inspected for symptoms of huanglongbing and signs of its vectors. Leaves and shoots showing suspect symptoms were sampled and tested in the laboratory (43 samples). Molecular tests (real-time PCR, sequencing) confirmed the presence of ‘
Ca
. Liberibacter africanus’ in 6 samples which had been collected from symptomatic citrus trees in a commercial farm near Calulo (2
Citrus reticulata
and 3
C. sinensis
trees) and in a nursery in Luanda (1
C. aurantifolia
tree). This is the first time that ‘
Ca
. L. africanum’ is reported from Angola. It is concluded that further surveys are needed to determine the occurrence of huanglongbing and its vectors in Angola, and that measures should be taken to prevent further spread of the disease.
The situation of ‘
Candidatus
Liberibacter africanus’ in Angola can be described as follows:
Present, only in some areas (first found in 2019, near Calulo and Luanda).
Sources
Fourie P, Kirkman W, Cook G, Steyn C, de Bruyn R, Bester R, Roberts R, DM Bassimba D, José CM, Maree HJ (2020) First report of ‘
Candidatus
Liberibacter africanus’ associated with African greening of citrus in Angola.
Plant Disease
(in press).
https://doi.org/10.1094/PDIS-06-20-1392-PDN"
LIBEAF,'Candidatus Liberibacter africanus',2020/113,New and revised dynamic EPPO datasheets are available in the EPPO Global Database,2020-06,https://gd.eppo.int/reporting/article-6791,"EPPO Reporting Service no. 06 - 2020
Num. article:
2020/113
New and revised dynamic EPPO datasheets are available in the EPPO Global Database
The EPPO Secretariat is in the process of revising the EPPO datasheets on pests recommended for regulation. This project is also supported by an EU grant agreement. This revision provides the opportunity to create dynamic datasheets in the EPPO Global Database in which the sections on pest identity, host range and geographical distribution are automatically generated by the database. It is planned that these dynamic datasheets will progressively replace the PDF documents that are currently stored in the database. Since the previous report (EPPO
RS 2020/090
), The following revised EPPO datasheets have been published in the EPPO Global Database:
‘
Candidatus
Liberibacter africanus’:
https://gd.eppo.int/taxon/LIBEAF/datasheet
‘
Candidatus
Liberibacter americanus’:
https://gd.eppo.int/taxon/LIBEAM/datasheet
‘
Candidatus
Liberibacter asiaticus’:
https://gd.eppo.int/taxon/LIBEAS/datasheet
Citrus tristeza virus:
https://gd.eppo.int/taxon/CTV000/datasheet
Ips
amitinus
:
https://gd.eppo.int/taxon/IPSXAM/datasheet
Neoleucinodes
elegantalis
:
https://gd.eppo.int/taxon/NEOLEL/datasheet
Paysandisia
archon
:
https://gd.eppo.int/taxon/PAYSAR/datasheet
Phyllosticta
citricarpa
:
https://gd.eppo.int/taxon/GUIGCI/datasheet
Spodoptera
frugiperda
:
https://gd.eppo.int/taxon/LAPHFR/datasheet
Trirachys sartus
:
https://gd.eppo.int/taxon/AELSSA/datasheet
Sources
EPPO Secretariat (2020-06)."
LIBEAF,'Candidatus Liberibacter africanus',2020/100,First report of ‘Candidatus Liberibacter africanus’ in Nigeria,2020-05,https://gd.eppo.int/reporting/article-6778,"EPPO Reporting Service no. 05 - 2020
Num. article:
2020/100
First report of ‘Candidatus Liberibacter africanus’ in Nigeria
In Nigeria, a specific survey on huanglongbing (associated with ‘
Candidatus
Liberibacter spp.’; EPPO A1 List) was carried out in citrus orchards in April 2018. Twenty sites were surveyed in Benue and Nasarawa states, and symptomatic trees were observed in 11 sites. Five symptomatic trees per site were randomly selected, and leaf samples were collected from sweet orange (
Citrus sinensis
) plants showing typical huanglongbing symptoms, including mild to severe yellowing on the shoots and mottling and chlorosis on the leaves. Laboratory tests (PCR, sequencing) confirmed the presence of ‘
Ca.
Liberibacter africanus’ in all leaf samples collected from 4 sites in Benue state. All samples from Nasarawa state gave negative results. This is the first record of ‘
Ca.
Liberibacter africanus’ in Nigeria.
The situation of ‘Candidatus Liberibacter africanus’ in Nigeria can be described as follows:
Present, only in some areas (first found in 2018 in Benue state).
Sources
Ajene IJ, Khamis F, Mohammed S, Adediji AO, Atiri GI, Kazeem SA, Ekesi S (2020) First report of ‘
Candidatus
Liberibacter africanus’ associated with citrus greening disease in Nigeria.
Plant Disease
104
(5), p 1535.
https://doi.org/10.1094/PDIS-11-19-2380-PDN"
LIBEAF,'Candidatus Liberibacter africanus',2020/053,Distribution of Candidatus Liberibacter species associated with huanglongbing in Eastern Africa and first report of ‘Candidatus Liberibacter asiaticus’ in Kenya,2020-03,https://gd.eppo.int/reporting/article-6731,"EPPO Reporting Service no. 03 - 2020
Num. article:
2020/053
Distribution of Candidatus Liberibacter species associated with huanglongbing in Eastern Africa and first report of ‘Candidatus Liberibacter asiaticus’ in Kenya
In Africa, huanglongbing is mainly associated with the bacterium ‘
Candidatus
Liberibacter africanus’ (EPPO A1 List) principally transmitted by
Trioza erytreae
(EPPO A2 List). Several subspecies of ‘
Ca
. L. africanus’ have been reported, including ‘
Ca.
L. africanus subsp. capensis’, ‘
Ca.
L. africanus subsp. clausenae’, ‘
Ca.
L. africanus subsp. teclae’, ‘
Ca.
L. africanus subsp. vepridis’, and ‘
Ca.
L. africanus subsp. zanthoxyli’. ‘
Ca.
L. asiaticus’ (EPPO A1 List) was first reported in Africa in Ethiopa in 2010, and (another of its vectors)
Diaphorina citri
(EPPO A1 List) was first recorded in Tanzania and in Kenya in 2016 and 2017, respectively (EPPO
RS 2017/166
).
Surveys were conducted in Uganda (300 sites), Ethiopia (170 sites) and Kenya (9 sites) to assess the status of huanglongbing in these countries, identify the associated Liberibacter species in citrus plants and their psyllid vectors. In Ethiopia, huanglongbing symptoms were not seen at low altitudes (<1000 m; Oromia region) but were found at high altitudes (1 876–2 116 m; Gondar region). Symptoms were found in 26% of the Ugandan sites, 20.6% of the Ethiopian sites and 66.6% of the sites surveyed in Kenya.
Trioza erytreae
was found at 10 sites in Uganda and 7 sites in Ethiopia, but not in any of the sites in Kenya. Conversely,
D. citri
was found at all sites in Kenya at the time of the survey, but not in Uganda or Ethiopia. Sequencing showed that ‘
Ca
. L. africanus’ and ‘
Ca.
L. africanus subsp. capensis’ occurred together in the western region in Uganda, and that ‘
Ca.
L. africanus subsp. clausenae’ is the only species found in the eastern region. In Ethiopia, ‘
Ca.
L. africanus subsp. clausenae’ (75%), ‘
Ca.
L. asiaticus’ (25%) and ‘
Ca
. L. africanus’ (4%) occurred in the Gondar region while only ‘
Ca.
L. asiaticus’ was found in Tigray and Wollo regions. In Kenya, ‘
Ca.
L. asiaticus’ was present at the Coastal region, while ‘
Ca.
L. africanus subsp. clausenae’ was found in the western region. This is the first report of ‘
Ca
Liberibacter asiaticus’ in Kenya.
The situation of
‘Candidatus
Liberibacter asiaticus
’
in Kenya can be described as follows:
Present, in the Coastal region.
Sources
Ajene IJ, Khami FM, van Asch B, Pietersen G, Seid N, Rwomushana I, Ombura FLO, Momanyi G, Finyange P, Rasowo BA, Tanga CM, Mohammed S, Ekesi S (2020) Distribution of
Candidatus
Liberibacter species in Eastern Africa, and the first report of
Candidatus
Liberibacter asiaticus in Kenya.
Scientific Reports
10,
3919
https://doi.org/10.1038/s41598-020-60712-0"
LIBEAF,'Candidatus Liberibacter africanus',2019/200,New EU Regulations,2019-10,https://gd.eppo.int/reporting/article-6630,"EPPO Reporting Service no. 10 - 2019
Num. article:
2019/200
New EU Regulations
Emergency measures against
Tomato brown rugose fruit virus
The EU Commission has established emergency measures to prevent the introduction into, and the spread within the EU of
Tomato brown rugose fruit virus
(
Tobamovirus,
ToBRFV- EPPO Alert List). This Decision will apply from 1 November 2019 until 31 March 2022 (EU, 2019a).
List of priority pests
The EU recently published a list of 20 priority pests (as defined in Article 6(2) of Regulation (EU) 2016/2031). For these specific pests, EU Member States will have to adopt enhanced provisions: information campaigns to the public if the pests are present in their territory, implement annual surveys, prepare contingency plans, simulation exercises and action plans for eradication. The priority pests are as follows:
Agrilus anxius, Agrilus planipennis, Anastrepha ludens, Anoplophora chinensis, Anoplophora glabripennis, Anthonomus eugenii, Aromia bungii, Bactericera cockerelli, Bactrocera dorsalis, Bactrocera zonata, Bursaphelenchus xylophilus, Candidatus
Liberibacter spp. causal agents of Huanglongbing disease of citrus/citrus greening
, Conotrachelus nenuphar, Dendrolimus sibiricus, Phyllosticta citricarpa, Popillia japonica, Rhagoletis pomonella, Spodoptera frugiperda, Thaumatotibia leucotreta, Xylella fastidiosa
(EU, 2019b).
Other Implementing Regulations
Other Implementing Regulations were published earlier in 2019 and will apply from 14 December 2019:
All plants (including living parts of plants) will need to be accompanied by a phytosanitary certificate to enter into the EU, unless they are listed in Commission Implementing Regulation (EU) 2018/2019.
Commission Implementing Regulation (EU) 2018/2019 establishes the list of high risk plants, the introduction of these plants into the EU territory will be provisionally prohibited from 14 December 2019 until a full risk assessment has been carried out.
Sources
EU (2016) Regulation (EU) 2016/2031 of the European Parliament of the Council of 26 October 2016 on protective measures against pests of plants, amending Regulations (EU) No 228/2013, (EU) No 652/2014 and (EU) No 1143/2014 of the European Parliament and of the Council and repealing Council Directives 69/464/EEC, 74/647/EEC, 93/85/EEC, 98/57/EC, 2000/29/EC, 2006/91/EC and 2007/33/EC.
http://data.europa.eu/eli/reg/2016/2031/oj
EU (2018) Commission Implementing Regulation (EU) 2018/2019 of 18 December 2018 establishing a provisional list of high risk plants, plant products or other objects, within the meaning of Article 42 of Regulation (EU) 2016/2031 and a list of plants for which phytosanitary certificates are not required for introduction into the Union, within the meaning of Article 73 of that Regulation. OJ L 323, 10–15,
http://data.europa.eu/eli/reg_impl/2018/2019/oj
EU (2019a) Commission Implementing Decision (EU) 2019/1615 of 26 September 2019 establishing emergency measures to prevent the introduction into and the spread within the Union of Tomato brown rugose fruit virus (ToBRFV). OJ L 250, 91-94,
http://data.europa.eu/eli/dec_impl/2019/1615/oj
EU (2019b) Commission Delegated Regulation (EU) 2019/1702 of 1 August 2019 supplementing Regulation (EU) 2016/2031 of the European Parliament and of the Council by establishing the list of priority pests. OJ L 260, 8–10,
http://data.europa.eu/eli/reg_del/2019/1702/oj
New EU plant health rules:
https://ec.europa.eu/food/plant/plant_health_biosecurity/legislation/new_eu_rules_en"
LIBEAF,'Candidatus Liberibacter africanus',2019/113,Recommendations to policy makers from Euphresco projects,2019-06,https://gd.eppo.int/reporting/article-6543,"EPPO Reporting Service no. 06 - 2019
Num. article:
2019/113
Recommendations to policy makers from Euphresco projects
The following research project has recently been carried out in the framework of Euphresco (network for phytosanitary research coordination and funding – hosted by EPPO). The report presenting the main objectives and results of this project, as well as recommendations made to policy makers, can be viewed on the Internet.
Comparison of multiple real-time PCR & real-time LAMP detection methods for the plant pathogen ‘
Candidatus
Liberibacter' spp. causing the Huanglongbing disease on
Citrus
spp. (HLBVALID)
Visual inspection of symptomatic plants is a routine method for the surveillance of huanglongbing (citrus greening) disease, but symptoms can be misinterpreted. Conventional PCR tests can lead to false negative results due to the low titre and uneven distribution of the bacterium in the host plant, especially at an early stage of infection. Several real-time PCR tests have been developed recently.
The project aimed to compare the performance of three real-time PCR tests (Bertolini
et al
., 2014; Li
et al
., 2006; Morgan
et
al
., 2012) and the conventional duplex PCR from Teixeira
et al
. (2005) and Hocquellet
et al
. (1999).
The real-time PCR test from
Li
et al
. (2006)
and the conventional duplex PCR performed best for both
'
Candidatus
Liberibacter asiaticus'
and
'
Candidatus
Liberibacter africanus'
.
Authors
: Cellier G, Cruz L, Sá Pereira P, Andrade E, Cubero J, Redondo C, Sabuquillo P, Roselló M, Devorshak C, D'Onghia AM, Yaseen T, Ince E, Nilüfer Y, Güler PG.
Duration of the project
: from
2016-09-01 to 2019-04-30.
Report
:
https://zenodo.org/record/3243371#.XP_Z5lwzbct
Sources
Euphresco (2019-06).
https://www.euphresco.net/projects/"
LIBEAF,'Candidatus Liberibacter africanus',2018/082,Huanglongbing and citrus canker are absent from Egypt,2018-04,https://gd.eppo.int/reporting/article-6276,"EPPO Reporting Service no. 04 - 2018
Num. article:
2018/082
Huanglongbing and citrus canker are absent from Egypt
The NPPO of Egypt officially informed the EPPO Secretariat that despite the information stated in two recent papers (Tolba, 2017; Tolba and Soliman, 2015), huanglongbing (associated with ‘
Candidatus
Liberibacter asiaticus’, ‘
Ca
. L. africanus’, ‘
Ca
. L. americanus’ – EPPO A1 List) and citrus canker (
Xanthomonas citri
subsp
. citri
- EPPO A1 List) do not occur in Egypt. Following the publication of the two papers, the Central Administration of Plant Quarantine have immediately conducted investigations with the Agricultural Research Centre (ARC) and the Plant Pathology Research Institute (PPRI). Citrus canker, as well as huanglongbing and its vectors, were not detected during survey programmes nor reported by growers. The NPPO of Egypt officially confirms that its territory is free from both citrus canker and huanglongbing.
Sources
NPPO of Egypt (2018-03).
Tolba IH (2017) Etiological and some epidemiological features of bacterial citrus canker in Egypt.
Journal of Plant Protection and Pathology, Mansour University
8
(6), 247-259.
Tolba IH, Soliman MA (2015) Citrus huanglongbing (greening disease) in Egypt: symptoms documentation and pathogen detection. American-Eurasian
Journal of Agricultural and Environmental Sciences
15
(10), 2045-2058."
LIBEAF,'Candidatus Liberibacter africanus',2016/111,First report of Diaphorina citri in Tanzania,2016-06,https://gd.eppo.int/reporting/article-5856,"EPPO Reporting Service no. 06 - 2016
Num. article:
2016/111
First report of Diaphorina citri in Tanzania
In Tanzania, intensive surveys on huanglongbing (associated with ‘
Candidatus
Liberibacter africanus’ – EPPO A1 List) and its vector
Trioza erytreae
(Hemiptera: Triozidae – EPPO A2 List) were conducted in 2014-2015 in 4 regions (Tanga, Coast, Morogoro and Kagera). These surveys were conducted in citrus orchards and on backyard citrus trees at various altitudes: high (>700 m), medium (300-600 m) and low (<200m). Trees were inspected for the presence of huanglongbing symptoms and leaf galls caused by
T. erytreae
. Symptomatic leaf samples and psyllid specimens were also collected for further testing. Results showed that
T. erytreae
adults and nymphs were abundant in the highlands and less abundant at medium altitudes. Unexpectedly, adults and nymphs of the other known psyllid vector of huanglongbing,
Diaphorina citri
(Hemiptera: Liviidae – EPPO A1 List), were found at medium altitudes around Morogoro. No psyllid vectors of huanglongbing were observed at low altitudes. The presence of
D. citri
in Tanzania is also a first record for mainland Africa. Severe huanglongbing symptoms, including tree decline, were observed at high altitudes, while only occasional and mild symptoms were observed at medium and low altitudes. Leaf and psyllid samples were collected and tested (different PCR methods with several primer sets, sequencing and phylogenetic analysis) for the presence of ‘
Candidatus
Liberibacter spp.’ ‘
Ca
. L. africanus’ was detected in leaf and
T. erytreae
samples collected from high and medium altitudes. The presence of ‘
Ca
. L. asiaticus’ could not be confirmed by all methods. Preliminary positive results were obtained by qPCR on 4 adult specimens of
T. erytreae
but were not confirmed by other methods and are therefore suspected to be cross-reactions with ‘
Ca
. L. africanus’. It is also recalled that during another study, the presence of ‘
Ca
. L. asiaticus’ had been reported once in Ethiopia (where
D. citri
has not been found). Finally, all
D. citri
specimens tested negative for the presence of ‘
Ca
. L. asiaticus and ‘
Ca
. L. africanus’. In addition to these surveys, the potential distribution of
D. citri
and ‘
Ca
. L. asiaticus’ in Africa and Europe has been studied using two predictive models (Maxent and Multi-Model-Framework). Both models predicted that most of the citrus-growing areas in Africa and some in Europe are suitable for the establishment of
D. citri
. Some areas were predicted as being unsuitable such as the Balkans, Egypt, Greek islands, Northern Italy, Central Spain, central parts of South Africa, and Turkey (except for the coast). In addition, some areas within Algeria, Morocco and Tunisia were also predicted as being unsuitable for
D. citri
establishement.
It is concluded that more tests should be conducted on psyllids in Tanzania for the presence of ‘
Ca
. L. asiaticus’, as for the moment it cannot be concluded whether it is present or not in Tanzania. It is also noted that the Morogoro area where
D. citri
has been found is also an area where citrus nurseries are located. The arrival of
D. citri
in mainland Africa represents a serious threat to African citriculture, and possibly to other continents and Europe in particular. It is stressed that phytosanitary measures should be undertaken to prevent movement of
D. citri
within and outside Tanzania.
Sources
Shimwela MM, Narouei-Khandan, HA, Halbert SE, Keremane ML, Minsavage GV, Timilsina S, Massawe DP, Jones JB, van Bruggen AHC (2016) First occurrence of
Diaphorina citri
in East Africa, characterization of the
Ca
. Liberibacter species causing huanglongbing (HLB) in Tanzania, and potential further spread of
D. citri
and HBL in Africa and Europe.
European Journal of Plant Pathology
doi: 10.1007/s10658-016-0921-y"
