country,number,title,date,url
Afghanistan,2014/034,New data on quarantine pests and pests of the EPPO Alert List,2014-02,https://gd.eppo.int/reporting/article-2754
Afghanistan,2012/193,New data on quarantine pests and pests of the EPPO Alert List,2012-09,https://gd.eppo.int/reporting/article-2399
Albania,2025/247,American plum line pattern virus does not occur in Albania,2025-10,https://gd.eppo.int/reporting/article-8262
Albania,2025/001,New data on quarantine pests and pests of the EPPO Alert List,2025-01,https://gd.eppo.int/reporting/article-8012
Albania,2025/023,First report of Acalypha australis in Albania,2025-01,https://gd.eppo.int/reporting/article-8034
Albania,2024/167,First report of Toumeyella parvicornis in Albania,2024-08,https://gd.eppo.int/reporting/article-7917
Albania,2022/151,First report of tomato chlorosis virus in Albania,2022-07,https://gd.eppo.int/reporting/article-7382
Albania,2022/105,First report of Dryocosmus kuriphilus in Albania,2022-05,https://gd.eppo.int/reporting/article-7336
Albania,2022/028,New data on quarantine pests and pests of the EPPO Alert List,2022-02,https://gd.eppo.int/reporting/article-7258
Albania,2022/035,Spread of Cacyreus marshalli within the EPPO region,2022-02,https://gd.eppo.int/reporting/article-7265
Albania,2021/133,First confirmed report of Erthesina fullo in Albania,2021-06,https://gd.eppo.int/reporting/article-7072
Albania,2020/170,First record of an Erthesina species (Hemiptera: Pentatomidae) resembling E. fullo in Albania,2020-08,https://gd.eppo.int/reporting/article-6848
Albania,2020/169,Update on the situation of Corythucha arcuata in the EPPO region,2020-08,https://gd.eppo.int/reporting/article-6847
Albania,2020/048,New data on quarantine pests and pests of the EPPO Alert List,2020-03,https://gd.eppo.int/reporting/article-6726
Albania,2019/118,Update on the situation of Cydalima perspectalis in the EPPO region,2019-06,https://gd.eppo.int/reporting/article-6548
Albania,2019/117,"First reports of Halyomorpha halys in Belgium, Bulgaria and in Malta and update for other European countries",2019-06,https://gd.eppo.int/reporting/article-6547
Albania,2018/173,New data on quarantine pests and pests of the EPPO Alert List,2018-09,https://gd.eppo.int/reporting/article-6367
Albania,2017/157,New data on quarantine pests and pests of the EPPO Alert List,2017-09,https://gd.eppo.int/reporting/article-6125
Albania,2016/143,New data on quarantine pests and pests of the EPPO Alert List,2016-08,https://gd.eppo.int/reporting/article-5888
Albania,2015/167,First report of Ceratocystis platani in Albania,2015-09,https://gd.eppo.int/reporting/article-5113
Albania,2013/072,Assessment of the ecological effects of Vallisneria spiralis in the Netherlands,2013-03,https://gd.eppo.int/reporting/article-2534
Albania,2011/107,First report of Aphis illinoisensis in Albania,2011-05,https://gd.eppo.int/reporting/article-245
Albania,2011/106,First report of Aphis illinoisensis in Israel,2011-05,https://gd.eppo.int/reporting/article-242
Albania,2009/207,First record of Rhynchophorus ferrugineus in Albania,2009-11,https://gd.eppo.int/reporting/article-458
Albania,2009/208,First report of Rhynchophorus ferrugineus in Ceuta (ES),2009-11,https://gd.eppo.int/reporting/article-459
Albania,2009/170,First report of Tuta absoluta in Albania,2009-09,https://gd.eppo.int/reporting/article-368
Albania,2007/187,New data on quarantine pests and pests of the EPPO Alert List,2007-10,https://gd.eppo.int/reporting/article-1233
Albania,2005/174,A survey of weeds that are increasingly spreading in Europe,2005-11,https://gd.eppo.int/reporting/article-1506
Albania,2004/058,Situation of Diabrotica virgifera in the EPPO region,2004-04,https://gd.eppo.int/reporting/article-1579
Albania,2003/118,Findings of American plum line pattern ilarvirus in Europe,2003-08,https://gd.eppo.int/reporting/article-2104
