eppocode,section_title,year,country,continent
LIBEAF,GEOGRAPHICAL DISTRIBUTION,18th century,India,Asia
LIBEAF,GEOGRAPHICAL DISTRIBUTION,Late 19th century,China,Asia
LIBEAF,GEOGRAPHICAL DISTRIBUTION,1919,China,Asia
LIBEAF,GEOGRAPHICAL DISTRIBUTION,1927,Pakistan,Asia
LIBEAF,GEOGRAPHICAL DISTRIBUTION,1943,China,Asia
LIBEAF,GEOGRAPHICAL DISTRIBUTION,1920s,Philippines,Asia
LIBEAF,GEOGRAPHICAL DISTRIBUTION,1920s,Taiwan,Asia
LIBEAF,GEOGRAPHICAL DISTRIBUTION,1920s,Indonesia,Asia
LIBEAF,GEOGRAPHICAL DISTRIBUTION,1928,South Africa,Africa
LIBEAF,GEOGRAPHICAL DISTRIBUTION,2004,Brazil,South America
LIBEAF,GEOGRAPHICAL DISTRIBUTION,2005,USA,North America
LIBEAF,GEOGRAPHICAL DISTRIBUTION,Still free,Australia,Oceania
LIBEAF,GEOGRAPHICAL DISTRIBUTION,Still free,New Zealand,Oceania
LIBEAF,GEOGRAPHICAL DISTRIBUTION,Still free,New Caledonia,Oceania
LIBEAS,GEOGRAPHICAL DISTRIBUTION,18th century,India,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,Late 19th century,China,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,1927,Pakistan,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,1943,China,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,1920s,Philippines,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,1920s,Taiwan,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,1920s,Indonesia,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,1920s,China,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,1928,South Africa,Africa
LIBEAS,GEOGRAPHICAL DISTRIBUTION,2004,Brazil,South America
LIBEAS,GEOGRAPHICAL DISTRIBUTION,2005,USA,North America
LIBEAS,GEOGRAPHICAL DISTRIBUTION,unknown,Mediterranean area,Europe
LIBEAS,GEOGRAPHICAL DISTRIBUTION,unknown,Middle East,Asia
LIBEAS,GEOGRAPHICAL DISTRIBUTION,unknown,Australia,Oceania
LIBEAS,GEOGRAPHICAL DISTRIBUTION,unknown,New Zealand,Oceania
LIBEAS,GEOGRAPHICAL DISTRIBUTION,unknown,New Caledonia,Oceania
LIBEAS,GEOGRAPHICAL DISTRIBUTION,unknown,small Pacific islands,Oceania
